IRI,UCUM
http://www.ontology-of-units-of-measure.org/resource/om-2/gigahenry,GH
http://www.ontology-of-units-of-measure.org/resource/om-2/gigahertz,GHz
http://www.ontology-of-units-of-measure.org/resource/om-2/gigajoule,GJ
http://www.ontology-of-units-of-measure.org/resource/om-2/gigakatal,Gkat
http://www.ontology-of-units-of-measure.org/resource/om-2/gigakelvin,GK
http://www.ontology-of-units-of-measure.org/resource/om-2/gigalitre,GL
http://www.ontology-of-units-of-measure.org/resource/om-2/gigalumen,Glm
http://www.ontology-of-units-of-measure.org/resource/om-2/gigalux,Glx
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametre,Gm
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametrePerSecond-Time,Gm.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametrePerSecond-Time,Gm/s
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametrePerSecond-TimeSquared,Gm.s-2
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolar,Gmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolar,Gmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamole,Gmol
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolePerLitre,Gmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolePerLitre,Gmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolePerMetre,Gmol.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gigamolePerMetre,Gmol/m
http://www.ontology-of-units-of-measure.org/resource/om-2/giganewton,GN
http://www.ontology-of-units-of-measure.org/resource/om-2/gigaohm,GOhm
http://www.ontology-of-units-of-measure.org/resource/om-2/gigaparsec,Gpc
http://www.ontology-of-units-of-measure.org/resource/om-2/gigapascal,GPa
http://www.ontology-of-units-of-measure.org/resource/om-2/gigasecond-Time,Gs
http://www.ontology-of-units-of-measure.org/resource/om-2/gigasecond-TimeSquared,Gs2
http://www.ontology-of-units-of-measure.org/resource/om-2/gigasiemens,GS
http://www.ontology-of-units-of-measure.org/resource/om-2/gigasievert,GSv
http://www.ontology-of-units-of-measure.org/resource/om-2/gigatesla,GT
http://www.ontology-of-units-of-measure.org/resource/om-2/gigavolt,GV
http://www.ontology-of-units-of-measure.org/resource/om-2/gigawatt,GW
http://www.ontology-of-units-of-measure.org/resource/om-2/gigawattHour,GW.h
http://www.ontology-of-units-of-measure.org/resource/om-2/gigaweber,GWb
http://www.ontology-of-units-of-measure.org/resource/om-2/gigayear,Ga
http://www.ontology-of-units-of-measure.org/resource/om-2/gigayearCubicKiloparsec,Ga.kpc3
http://www.ontology-of-units-of-measure.org/resource/om-2/gigayearCubicParsec,Ga.pc3
http://www.ontology-of-units-of-measure.org/resource/om-2/gilbert,Gb
http://www.ontology-of-units-of-measure.org/resource/om-2/gill-Imperial,[gil_br]
http://www.ontology-of-units-of-measure.org/resource/om-2/gill-US,[gil_us]
http://www.ontology-of-units-of-measure.org/resource/om-2/gon,gon
http://www.ontology-of-units-of-measure.org/resource/om-2/grain,[gr]
http://www.ontology-of-units-of-measure.org/resource/om-2/gram,g
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerAttolitre,g.aL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerAttolitre,g/aL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCentilitre,g.cL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCentilitre,g/cL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicCentimetre,g.cm-3
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicCentimetre,g/cm3
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicmetre,g.m-3
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicmetre,g/m3
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDay,g.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDay,g/d
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerday,g.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerday,g/d
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDecalitre,g.daL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDecalitre,g/daL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDecilitre,g.dL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDecilitre,g/dL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerExalitre,g.EL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerExalitre,g/EL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerFemtolitre,g.fL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerFemtolitre,g/fL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGigalitre,g.GL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGigalitre,g/GL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGram,g.g-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGram,g/g
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerHectogram,g.hg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerHectogram,g/hg
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerHectolitre,g.hL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerHectolitre,g/hL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerJoule,g.J-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerJoule,g/J
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerKilogram,g.kg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerKilogram,g/kg
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerKilolitre,g.kL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerKilolitre,g/kL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerLitre,g.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerLitre,g/L
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMegajoule,g.MJ-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMegajoule,g/MJ
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMegalitre,g.ML-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMegalitre,g/ML
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMetre,g.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMetre,g/m
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMicrolitre,g.uL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMicrolitre,g/uL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMillilitre,g.mL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMillilitre,g/mL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerNanolitre,g.nL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerNanolitre,g/nL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerPetalitre,g.PL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerPetalitre,g/PL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerPicolitre,g.pL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerPicolitre,g/pL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetre,g.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetre,g/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreCentimetre,g.cm-2
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreCentimetre,g/cm2
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreDay,g.m-2.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreDay,g/m2/d
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreMetre,g.m-2.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreMetre,g/m2/m
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreSecond-Time,g.m-2.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreSecond-Time,g/m2/s
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerTeralitre,g.TL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerTeralitre,g/TL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerYoctolitre,g.yL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerYoctolitre,g/yL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerYottalitre,g.YL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerYottalitre,g/YL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerZeptolitre,g.zL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerZeptolitre,g/zL
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerZettalitre,g.ZL-1
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerZettalitre,g/ZL
http://www.ontology-of-units-of-measure.org/resource/om-2/gray,Gy
http://www.ontology-of-units-of-measure.org/resource/om-2/grayPerSecond-Time,Gy.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/grayPerSecond-Time,Gy/s
http://www.ontology-of-units-of-measure.org/resource/om-2/hectare,har
http://www.ontology-of-units-of-measure.org/resource/om-2/hectareDay,har.d
http://www.ontology-of-units-of-measure.org/resource/om-2/hecto,
http://www.ontology-of-units-of-measure.org/resource/om-2/hectoampere,hA
http://www.ontology-of-units-of-measure.org/resource/om-2/hectobecquerel,hBq
http://www.ontology-of-units-of-measure.org/resource/om-2/hectocandela,hcd
http://www.ontology-of-units-of-measure.org/resource/om-2/hectocoulomb,hC
http://www.ontology-of-units-of-measure.org/resource/om-2/hectofarad,hF
http://www.ontology-of-units-of-measure.org/resource/om-2/hectogram,hg
http://www.ontology-of-units-of-measure.org/resource/om-2/hectogramPerLitre,hg.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/hectogramPerLitre,hg/L
http://www.ontology-of-units-of-measure.org/resource/om-2/hectogray,hGy
http://www.ontology-of-units-of-measure.org/resource/om-2/hectohenry,hH
http://www.ontology-of-units-of-measure.org/resource/om-2/hectohertz,hHz
http://www.ontology-of-units-of-measure.org/resource/om-2/hectojoule,hJ
http://www.ontology-of-units-of-measure.org/resource/om-2/hectokatal,hkat
http://www.ontology-of-units-of-measure.org/resource/om-2/hectokelvin,hK
http://www.ontology-of-units-of-measure.org/resource/om-2/hectolitre,hL
http://www.ontology-of-units-of-measure.org/resource/om-2/hectolumen,hlm
http://www.ontology-of-units-of-measure.org/resource/om-2/hectolux,hlx
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometre,hm
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometrePerSecond-Time,hm.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometrePerSecond-Time,hm/s
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometrePerSecond-TimeSquared,hm.s-2
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometrePerSecond-TimeSquared,hm/s2
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolar,hmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolar,hmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomole,hmol
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolePerLitre,hmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolePerLitre,hmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolePerMetre,hmol.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/hectomolePerMetre,hmol/m
http://www.ontology-of-units-of-measure.org/resource/om-2/hectonewton,hN
http://www.ontology-of-units-of-measure.org/resource/om-2/hectoohm,hOhm
http://www.ontology-of-units-of-measure.org/resource/om-2/hectopascal,hPa
http://www.ontology-of-units-of-measure.org/resource/om-2/hectosecond-Time,hs
http://www.ontology-of-units-of-measure.org/resource/om-2/hectosecond-TimeSquared,hs2
http://www.ontology-of-units-of-measure.org/resource/om-2/hectosiemens,hS
http://www.ontology-of-units-of-measure.org/resource/om-2/hectosievert,hSv
http://www.ontology-of-units-of-measure.org/resource/om-2/hectotesla,hT
http://www.ontology-of-units-of-measure.org/resource/om-2/hectovolt,hV
http://www.ontology-of-units-of-measure.org/resource/om-2/hectowatt,hW
http://www.ontology-of-units-of-measure.org/resource/om-2/hectoweber,hWb
http://www.ontology-of-units-of-measure.org/resource/om-2/henry,hH
http://www.ontology-of-units-of-measure.org/resource/om-2/henryPerMetre,H.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/henryPerMetre,H/m
http://www.ontology-of-units-of-measure.org/resource/om-2/hertz,Hz
http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-British,[HP]
http://www.ontology-of-units-of-measure.org/resource/om-2/hour,h
http://www.ontology-of-units-of-measure.org/resource/om-2/hundredCount,100
http://www.ontology-of-units-of-measure.org/resource/om-2/hundredweight-British,[lcwt_av]
http://www.ontology-of-units-of-measure.org/resource/om-2/hundredweight-US,[scwt_av]
http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,[in_i]
http://www.ontology-of-units-of-measure.org/resource/om-2/InternationalUnit,[iU]
http://www.ontology-of-units-of-measure.org/resource/om-2/joule,J
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerCubicmetre,J.m-3
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerCubicmetre,J/m3
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerCubicMetreKelvin,J.m-3.K-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerCubicMetreKelvin,J/m3/K
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvin,J.K-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvin,J/K
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvinKilogram,J.K-1.kg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvinKilogram,J/K/kg
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvinMole,J.K-1.mol-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKelvinMole,J/K/mol
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKilogram,J.kg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerKilogram,J/kg
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerMole,J.mol-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerMole,J/mol
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSecond-Time,J.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSecond-Time,J/s
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetre,J.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetre,J/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetreDay,J.m-2.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetreDay,J/m2/d
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetreSecond-Time,J.m-2.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/joulePerSquareMetreSecond-Time,J/m2/s
http://www.ontology-of-units-of-measure.org/resource/om-2/jouleSecond-Time,J.s
http://www.ontology-of-units-of-measure.org/resource/om-2/katal,kat
http://www.ontology-of-units-of-measure.org/resource/om-2/katalPerCubicmetre,kat.m-3
http://www.ontology-of-units-of-measure.org/resource/om-2/katalPerCubicmetre,kat/m3
http://www.ontology-of-units-of-measure.org/resource/om-2/kayser,Ky
http://www.ontology-of-units-of-measure.org/resource/om-2/kelvin,K
http://www.ontology-of-units-of-measure.org/resource/om-2/kelvinKilogram,K.kg
http://www.ontology-of-units-of-measure.org/resource/om-2/kelvinMole,K.mol
http://www.ontology-of-units-of-measure.org/resource/om-2/kelvinPerWatt,K.W-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kelvinPerWatt,K/W
http://www.ontology-of-units-of-measure.org/resource/om-2/kilo,
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloampere,kA
http://www.ontology-of-units-of-measure.org/resource/om-2/kilobecquerel,kBq
http://www.ontology-of-units-of-measure.org/resource/om-2/kilobit,kbit
http://www.ontology-of-units-of-measure.org/resource/om-2/kilobyte,kBy
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-Mean,kcal_m
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-MeanPerDay,kcal_m.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-MeanPerDay,kcal_m/d
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-MeanPerHectogram,kcal_m.hg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocalorie-MeanPerHectogram,kcal_m/hg
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocandela,kcd
http://www.ontology-of-units-of-measure.org/resource/om-2/kilocoulomb,kC
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloelectronvolt,keV
http://www.ontology-of-units-of-measure.org/resource/om-2/kilofarad,kF
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogram,kg
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerCubicDecimetre,kg.dm-3
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerCubicDecimetre,kg/dm3
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerCubicmetre,kg.m-3
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerCubicmetre,kg/m3
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerGigajoule,kg.GJ-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerGigajoule,kg/GJ
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare,kg.har-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare,kg/har
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectareDay,kg.har-1.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectareDay,kg/har/d
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerKilogram,kg.kg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerKilogram,kg/kg
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerLitre,kg.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerLitre,kg/L
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerMole,kg.mol-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerMole,kg/mol
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerPascalSecond-TimeSquareMetre,kg.Pa-1.s-1.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerPascalSecond-TimeSquareMetre,kg/Pa/s/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerSecond-Time,kg.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerSecond-Time,kg/s
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerSquareMetre,kg.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerSquareMetre,kg/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramSecond-TimeToThePower-2,kg.s2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramSecond-TimeToThePower-2ReciprocalMetre,kg.s2.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramSecond-TimeToThePower-2ReciprocalMetre,kg.s2/m
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramSquareMetre,kg.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramSquareMetre,kg/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilogray,kGy
http://www.ontology-of-units-of-measure.org/resource/om-2/kilohenry,kH
http://www.ontology-of-units-of-measure.org/resource/om-2/kilohertz,kHz
http://www.ontology-of-units-of-measure.org/resource/om-2/kilohm,kOhm
http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoule,kJ
http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoulePerHectogram,kJ.hg-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoulePerHectogram,kJ/hg
http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoulePerSquareMetreDay,kJ.m-2.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilojoulePerSquareMetreDay,kJ/m2/d
http://www.ontology-of-units-of-measure.org/resource/om-2/kilokatal,kkat
http://www.ontology-of-units-of-measure.org/resource/om-2/kilokelvin,kK
http://www.ontology-of-units-of-measure.org/resource/om-2/kilolitre,kL
http://www.ontology-of-units-of-measure.org/resource/om-2/kilolumen,klm
http://www.ontology-of-units-of-measure.org/resource/om-2/kilolux,klx
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometre,km
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerHour,km.h-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerHour,km/h
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-Time,km.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-Time,km/s
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-TimePerMegaparsec,km.s-1.Mpc-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-TimePerMegaparsec,km/s/Mpc
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-TimeSquared,km.s-2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerSecond-TimeSquared,km/s2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolar,kmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolar,kmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomole,kmol
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolePerLitre,kmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolePerLitre,kmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolePerMetre,kmol.m-1
http://www.ontology-of-units-of-measure.org/resource/om-2/kilomolePerMetre,kmol/m
http://www.ontology-of-units-of-measure.org/resource/om-2/kilonewton,kN
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloparsec,kpc
http://www.ontology-of-units-of-measure.org/resource/om-2/kilopascal,kPa
http://www.ontology-of-units-of-measure.org/resource/om-2/kilosecond-Time,ks
http://www.ontology-of-units-of-measure.org/resource/om-2/kilosecond-TimeSquared,ks2
http://www.ontology-of-units-of-measure.org/resource/om-2/kilosiemens,kS
http://www.ontology-of-units-of-measure.org/resource/om-2/kilosievert,kSv
http://www.ontology-of-units-of-measure.org/resource/om-2/kilotesla,kT
http://www.ontology-of-units-of-measure.org/resource/om-2/kilotonne,kt
http://www.ontology-of-units-of-measure.org/resource/om-2/kilovolt,kV
http://www.ontology-of-units-of-measure.org/resource/om-2/kilowatt,kW
http://www.ontology-of-units-of-measure.org/resource/om-2/kilowattHour,kW.h
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloweber,kWb
http://www.ontology-of-units-of-measure.org/resource/om-2/knot-International,[kn_i]
http://www.ontology-of-units-of-measure.org/resource/om-2/lambert,Lmb
http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,[ly]
http://www.ontology-of-units-of-measure.org/resource/om-2/liquidPint-US,[pt_us]
http://www.ontology-of-units-of-measure.org/resource/om-2/liquidQuart-US,[qt_us]
http://www.ontology-of-units-of-measure.org/resource/om-2/litre,L
http://www.ontology-of-units-of-measure.org/resource/om-2/litrePer100Kilometre,L/(100.km)
http://www.ontology-of-units-of-measure.org/resource/om-2/litrePerHour,l.h-1
http://www.ontology-of-units-of-measure.org/resource/om-2/litrePerHour,l/h
http://www.ontology-of-units-of-measure.org/resource/om-2/litrePerMole,l.mol-1
http://www.ontology-of-units-of-measure.org/resource/om-2/litrePerMole,l/mol
http://www.ontology-of-units-of-measure.org/resource/om-2/lumen,lm
http://www.ontology-of-units-of-measure.org/resource/om-2/lumenPerSquareMetre,lm.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/lumenPerSquareMetre,lm/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/lumenPerWatt,lm.W-1
http://www.ontology-of-units-of-measure.org/resource/om-2/lumenPerWatt,lm/W
http://www.ontology-of-units-of-measure.org/resource/om-2/lumenSecond-Time,lm.s
http://www.ontology-of-units-of-measure.org/resource/om-2/lux,lx
http://www.ontology-of-units-of-measure.org/resource/om-2/luxSecond-Time,lx.s
http://www.ontology-of-units-of-measure.org/resource/om-2/maxwell,Mx
http://www.ontology-of-units-of-measure.org/resource/om-2/mega,
http://www.ontology-of-units-of-measure.org/resource/om-2/megaampere,MA
http://www.ontology-of-units-of-measure.org/resource/om-2/megabecquerel,MBq
http://www.ontology-of-units-of-measure.org/resource/om-2/megabit,Mbit
http://www.ontology-of-units-of-measure.org/resource/om-2/megabyte,MBy
http://www.ontology-of-units-of-measure.org/resource/om-2/megacandela,Mcd
http://www.ontology-of-units-of-measure.org/resource/om-2/megacoulomb,MC
http://www.ontology-of-units-of-measure.org/resource/om-2/megaelectronvolt,MeV
http://www.ontology-of-units-of-measure.org/resource/om-2/megaerg,MErg
http://www.ontology-of-units-of-measure.org/resource/om-2/megafarad,MF
http://www.ontology-of-units-of-measure.org/resource/om-2/megagram,Mg
http://www.ontology-of-units-of-measure.org/resource/om-2/megagramPerLitre,Mg.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/megagramPerLitre,Mg/L
http://www.ontology-of-units-of-measure.org/resource/om-2/megagray,MGy
http://www.ontology-of-units-of-measure.org/resource/om-2/megahenry,MH
http://www.ontology-of-units-of-measure.org/resource/om-2/megahertz,MHz
http://www.ontology-of-units-of-measure.org/resource/om-2/megajoule,MJ
http://www.ontology-of-units-of-measure.org/resource/om-2/megajoulePerSquareMetre,MJ.m-2
http://www.ontology-of-units-of-measure.org/resource/om-2/megajoulePerSquareMetre,MJ/m2
http://www.ontology-of-units-of-measure.org/resource/om-2/megajoulePerSquareMetreDay,MJ.m-2.d-1
http://www.ontology-of-units-of-measure.org/resource/om-2/megajoulePerSquareMetreDay,MJ/m2/d
http://www.ontology-of-units-of-measure.org/resource/om-2/megakatal,Mkat
http://www.ontology-of-units-of-measure.org/resource/om-2/megakelvin,MK
http://www.ontology-of-units-of-measure.org/resource/om-2/megalitre,ML
http://www.ontology-of-units-of-measure.org/resource/om-2/megalumen,Mlm
http://www.ontology-of-units-of-measure.org/resource/om-2/megalux,Mlx
http://www.ontology-of-units-of-measure.org/resource/om-2/megametre,Mm
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerKilojoule,Mm.kJ-1
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerKilojoule,Mm/kJ
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerSecond-Time,Mm.s-1
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerSecond-Time,Mm/s
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerSecond-TimeSquared,Mm.s-2
http://www.ontology-of-units-of-measure.org/resource/om-2/megametrePerSecond-TimeSquared,Mm/s2
http://www.ontology-of-units-of-measure.org/resource/om-2/megamolar,Mmol.L-1
http://www.ontology-of-units-of-measure.org/resource/om-2/megamolar,Mmol/L
http://www.ontology-of-units-of-measure.org/resource/om-2/megamole,Mmol
