UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
[IU],arbitrary international unit,international unit - arbitrary,,,,,,,,,,,,,
[iU],arbitrary international unit,international unit - arbitrary,,,,,,,,,,,,,
[k],Boltzmann constant,,,FALSE,,,,,,,,,,,
[ka'U],King-Armstrong unit,,,,,,,,,,,,,,
[kn_br],British knot,,knot - British,,,,,,,,,,,,
[kn_i],international knot,,knot - international,,,,,,,,,,,,
[knk'U],Kunkel unit,,,,,,,,,,,,,,
[kp_C],homeopathic potency of centesimal korsakovian series,,,FALSE,,,,,,,,,,,
[kp_M],homeopathic potency of millesimal korsakovian series,,,FALSE,,,,,,,,,,,
[kp_Q],homeopathic potency of quintamillesimal korsakovian series,,,FALSE,,,,,,,,,,,
[kp_X],homeopathic potency of decimal korsakovian series,,,FALSE,,,,,,,,,,,
[lb_ap],apothecary pound,,pound - apothecary|apothecaries pounds,,,,,,,,,,,,
[lb_av],international pound,avoirdupois pound,,,,,,,,,,,,,
[lb_tr],troy pound,,pound - troy,,,,,,,,,,,,
[lbf_av],US pound force,,pound force - US|US pound forces,,,,,,,,,,,,
[lcwt_av],long hundredweight,imperial hundredweight,British hundredweight,,,,,,,,,,,,
[Lf],Limit of flocculation,,,FALSE,,,,,,,,,,,
[ligne],French line,,Paris lines,,,,,,,,,,,,
[lk_br],British link for Gunter's chain,,link for Gunter's chain - British|Links for Gunter's Chain British,FALSE,,,,,,,,,,,
[lk_us],US link for Gunter's chain,,link for Gunter's chain - US|Links for Gunter's Chain USA,FALSE,,,,,,,,,,,
[lne],British line,,,,,,,,,,,,,,
[LPF],low power field,,low power field (microscope),FALSE,,,,,,,,,,,
[lton_av],British ton,imperial ton,long ton - British|weight tons|British long tons|long ton avoirdupois,,,,,,,,,,,,
[ly],light-year,light year,,,,,,,,,,,,,
[m_e],electron mass,,electron rest mass,FALSE,,,,,,,,,,,
[m_p],proton mass,,,FALSE,,,,,,,,,,,
[m/s2/Hz^(1/2)],meter per square seconds per square root of hertz,,,,,,,,,,,,,,
[mclg'U],Mac Lagan unit,,,,,,,,,,,,,,
