UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
N,newton,,,,,A special named SI unit which 1) is a unit of force and 2) is equal to a kilogram metre per square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,N,newton,Unité spéciale du SI qui 1) est une unité de force et 2) est égale à un kilogramme mètre par seconde au carré.,牛顿,,,Special named,
Ohm,ohm,,,,,A special named SI unit which 1) is a unit of electric resistance and 2) is equal to a kilogram square metre per square ampere cubic second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Ω,ohm,"Unité spéciale du SI qui représente 1) une unité de résistance électrique et 2) est défini par la résistance électrique qui existe entre deux points  d’un  conducteur  lorsqu’une  différence  de  potentiel  constante  de  1 volt,  appliquée  entre ces deux points, produit, dans ce conducteur, un courant de 1 ampère, ce conducteur n’étant le siège d’aucune force électromotrice.",欧姆,,,Special named,
Pa,pascal,,,,,A special named SI unit which 1) is a unit of pressure or stress and 2) is equal to a kilogram per metre square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Pa,pascal,Unité spéciale du SI qui 1) est une unité de pression et 2) est égale à un newton par mètre carré.,帕斯卡,,,Special named,
rad,radian,,,,,A special named SI unit which 1) is a unit of plane angle and 2) is equal to a metre per metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,rad,radian,Unité spéciale du SI qui 1) est une unité d'angle et 2) est égale à un mètre par mètre,弧度,,,Special named,
Sv,sievert,,,,,A special named SI unit which 1) is a unit of dose equivalent and 2) is equal to a square metre per square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Sv,sievert,Unité spéciale du SI qui 1) est une unité d’équivalent de dose dans le domaine de la radioprotection et 2) est égale au joule par kilogramme.,希沃特,,,Special named,
sr,steradian,,steradian - solid angle,,rad2,A special named SI unit which 1) is a unit of solid angle and 2) is equal to a square metre per square metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,sr,stéradian,Unité spéciale du SI qui 1) est une unité d'angle solide et 2) est égale à un mètre carré par mètre carré.,球面度,,,Special named,
S,siemens,,,,Ohm-1,A special named SI unit which 1) is a unit of electric conductance and 2) is equal to a square ampere cubic second per kilogram square metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,S,siemens,Unité spéciale du SI qui 1) est une unité SI de conductance électrique et 2) est égale à une ohm à la puissance moins un.,西门子,,,Special named,
T,tesla,,,,,A special named SI unit which 1) is a unit of magnetic flux density and 2) is equal to a kilogram per ampere square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,T,tesla,Unité spéciale du SI qui 1) est une unité d'induction magnétique et 2) est égale à un kilogramme par ampère au carré seconde.,特斯拉,,,Special named,
V,volt,,,,,A special named SI unit which 1) is a unit of electric potential difference and 2) is equal to a kilogram square metre per ampere cubic second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,V,volt,"Unité spéciale du SI qui 1) est une unité de différence de potentiel et de force électromotrice et 2) est la différence de
potentiel électrique qui existe entre deux points d’un fil conducteur transportant un courant constant de 1 ampère, lorsque la puissance dissipée entre ces points est égale à 1 watt.",伏特,,,Special named,
Wb,weber,,,,,A special named SI unit which 1) is a unit of magnetic flux and 2) is equal to a kilogram square metre per ampere square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Wb,weber,"Unité spéciale du SI qui 1) est une unité de flux magnétique et 2) est le flux magnétique qui, traversant un circuit d’une seule spire, y produirait une force électromotrice de 1 volt, si on l’amenait à zéro en 1 seconde par décroissance uniforme.",韦伯,,,Special named,
W,watt,,,,,A special named SI unit which 1) is a unit of power or radiant flux and 2) is equal to a kilogram square metre per cubic second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,W,watt,Unité spéciale du SI qui 1) est une unité de puissance et 2) est la puissance qui donne lieu à une production d’énergie égale à 1 joule par seconde.,瓦,,,Special named,
AU,astronomical unit,,,,,"A unit which 1) is a unit of length, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 149 597 870 700 metre.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,au,unité astronomique,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de longueur et 2) est égale à 149 597 870 700 mètres.,天文单位,,,Non-SI units accepted for use,
B,bel,,,,,"A unit which 1) is a unit of logarithmic ratio quantities, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is defined as the logarithm of a ratio between two power quantities of 10:1, or the logarithm of a ratio between two root-power quantities of √10:1.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,B,bel,"Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de quantité de ratio logaritmique et 2) est définie comme le logarithme de base 10 d’un rapport de grandeurs 10:1, ou le logarithme du ratio √10:1",贝尔,,,Non-SI units accepted for use,"Also mentions ""dB"". Definition source: ""Letter symbols to be used in electrical technology"". International Standard CEI-IEC 27-3. International Electrotechnical Commission. Part 3: Logarithmic quantities and units."
deg,plane angle degree,,degree - plane angle,,,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/180 radian.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,°,angle plan et de phase degré,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de plan et de phase d'angle et 2) est définie comme égale au radian π/180,平面角度,,,Non-SI units accepted for use,
d,day,,,,,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 24 hour or 86400 second.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,d,jour,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de temps et 2) est égale à 24 heures ou 86400 secondes.,日,,,Non-SI units accepted for use,
u,dalton,,unified atomic mass unit,,,"A unit which 1) is a unit of mass, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 1.66053906660(50)×10⁻²⁷ kilogram.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Da,dalton,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de masse et 2) est égale à 1.66053906660(50)×10⁻² kilogrammes,道尔顿,,,Non-SI units accepted for use,"Alt symbol ""u"""
eV,electronvolt,,,,,"A unit which 1) is a unit of energy, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 1.602 176 634 × 10⁻¹⁹ joule.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,eV,électronvolt,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité d'énergie et 2) est égale à 1.602 176 634 × 10⁻¹⁹ joule,电子伏特,,,Non-SI units accepted for use,
h,hour,,,,,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 60 minute or 3600 second.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,h,heure,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de temps et 2) est égale à 60 minutes ou 3600 secondes,小时,,,Non-SI units accepted for use,
L,litre,,liter,,l|dm3,"A unit which 1) is a unit of volume, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10⁻³ cubic metre.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,L,litre,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de Volume et 2) est égale à 10⁻³ mètres cube.,升,,,Non-SI units accepted for use,"Also has symbol ""l"""
min,minute,,,,,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 60 second.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,min,minute,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de temps et 2) est égale à 60 secondes,分钟,,,Non-SI units accepted for use,
Np,neper,,,,,"A unit which 1) is a unit of logarithmic ratio quantities, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is used to express the values of quantities whose numerical values are based on the use of the neperian (or natural) logarithm, ln = log(e).",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Np,néper,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de quantité de ratio logaritmique et 2) est définie comme le logarithme népérien ou naturel ln = log(e),奈培,,,Non-SI units accepted for use,
t,tonne,,metric ton,,,"A unit which 1) is a unit of mass, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10³ kilogram.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,t,tonne,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de masse et 2) est égale à 10³ kilogram.,公吨,,,Non-SI units accepted for use,"Alt label ""metric ton"""
,plane angle minute,arc minute,arcminutes|arcmin|arc mins|minute - plane angle,,,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/ 10800 radian.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,′,angle plan et de phase minute,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de plan et de phase d'angle et 2) est égale au radian π/ 10800,平面角分,,,Non-SI units accepted for use,"Alt label ""arcsecond"""
',plane angle second,arc second,arcseconds|arcsecs|arcsecond|second - plane angle,,,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/ 648000 radian.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,′′,angle plan et de phase seconde,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité de plan et de phase d'angle et 2) est égale au radian π/ 648000,平面角秒,,,Non-SI units accepted for use,
ar,are,,,,,"A unit which 1) is a unit of area, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10⁴ square metre.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,a,are,Unité qui n'appartiens pas au SI mais est accepté dans le système SI et 1) est une unité d'aire et 2) est égale à 10⁴ mètres carré,公亩,,,Non-SI units accepted for use*,"Mentions ""ha"" not ""a"""
[acr_br],British acre,imperial acre,,,,,https://en.wikipedia.org/wiki/Acre,,,,,,,,
[acr_us],US customary acre,,acre USA Survey|acre USA|survey acres,,,,https://en.wikipedia.org/wiki/Acre,,,,,,,,
[Amb'a'1'U],Ambrosia artemisiifolia allergen unit,,allergen unit for Ambrosia artemisiifolia,,,,,,,,,,,,
[anti'Xa'U],anti factor Xa unit,,,,,,,,,,,,,,
[APL'U],APL unit,,,,,,,,,,,,,,
[arb'U],arbitary unit,,,,,,,,,,,,,,
[AU],allergy unit,,,,,,,,,,,,,,
[BAU],bioequivalent allergen unit,,,,,,,,,,,,,,
[bbl_us],US barrel,,barrel - US,,,,,,,,,,,,
[bdsk'U],Bodansky unit,,,,,,,,,,,,,,
[beth'U],Bethesda unit,,,,,,,,,,,,,,
[bf_i],board foot,,board feet,FALSE,,,,,,,,,,,
[Btu_39],British thermal unit at 39°F,,,FALSE,,,,,,,,,,,
[Btu_59],British thermal unit at 59°F,,,FALSE,,,,,,,,,,,
[Btu_60],British thermal unit at 60°F,,,FALSE,,,,,,,,,,,
[Btu_IT],international table British thermal unit,,British thermal units IT,,,,,,,,,,,,
[Btu_m],mean British thermal unit,,,,,,,,,,,,,,
[Btu_th],thermochemical British thermal unit,,,,,,,,,,,,,,
[Btu],British thermal unit,,,,,,,,,,,,,,
[bu_br],British bushel,,bushel - British,,,,,,,,,,,,
[bu_us],US bushel,,bushel - US,,,,,,,,,,,,
[c],velocity of light in a vacuum,,,FALSE,,,,,,,,,,,
